title,image_url,image_file
An Abundance of Katherines,http://books.toscrape.com/media/cache/ed/45/ed4517339d4780f4158c485c83850d20.jpg,covers/An Abundance of Katherines.jpg
The Passion of Dolssa,http://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg,covers/The Passion of Dolssa.jpg
The Hunger Games (The Hunger Games #1),http://books.toscrape.com/media/cache/41/c7/41c72a9c7733fc5f7434b2fa33060c54.jpg,covers/The Hunger Games (The Hunger Games #1).jpg
The Beast (Black Dagger Brotherhood #14),http://books.toscrape.com/media/cache/1b/3f/1b3f5057f9e7f7cb81a8c10b58024145.jpg,covers/The Beast (Black Dagger Brotherhood #14).jpg
Some Women,http://books.toscrape.com/media/cache/27/b7/27b7f4ec590965b5acc15dc4b1376684.jpg,covers/Some Women.jpg
Shopaholic Ties the Knot (Shopaholic #3),http://books.toscrape.com/media/cache/ac/ba/acba5e4e1813b8c1fff4890f1efef3ab.jpg,covers/Shopaholic Ties the Knot (Shopaholic #3).jpg
Paper and Fire (The Great Library #2),http://books.toscrape.com/media/cache/a7/04/a704d4248b21c0cdd8038c1b8345ed17.jpg,covers/Paper and Fire (The Great Library #2).jpg
Outlander (Outlander #1),http://books.toscrape.com/media/cache/b1/0b/b10ba73e67297fc8ed9e877bdcf60813.jpg,covers/Outlander (Outlander #1).jpg
No One Here Gets Out Alive,http://books.toscrape.com/media/cache/7a/7e/7a7eb52e7075a5305522948375c1316e.jpg,covers/No One Here Gets Out Alive.jpg
Harry Potter and the Half-Blood Prince (Harry Potter #6),http://books.toscrape.com/media/cache/c8/24/c8248518fb59de3a798a4b5baae949b5.jpg,covers/Harry Potter and the Half-Blood Prince (Harry Potter #6).jpg
Atlas Shrugged,http://books.toscrape.com/media/cache/a5/4f/a54fea8d034eba2ee4d1b8af30f1a308.jpg,covers/Atlas Shrugged.jpg
A New Earth: Awakening to Your Life's Purpose,http://books.toscrape.com/media/cache/83/c8/83c834b3779be4e577c37ead6d2acf65.jpg,covers/A New Earth: Awakening to Your Life's Purpose.jpg
When You Are Engulfed in Flames,http://books.toscrape.com/media/cache/73/36/733662595aede2dff1a5be1e76a3b936.jpg,covers/When You Are Engulfed in Flames.jpg
Voyager (Outlander #3),http://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg,covers/Voyager (Outlander #3).jpg
The Silkworm (Cormoran Strike #2),http://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,covers/The Silkworm (Cormoran Strike #2).jpg
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",http://books.toscrape.com/media/cache/bb/18/bb1845c22faea465cad3d556d22936a2.jpg,"covers/The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3).jpg"
The Red Tent,http://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg,covers/The Red Tent.jpg
The Nanny Diaries (Nanny #1),http://books.toscrape.com/media/cache/63/5f/635fb981e464f7427787824b20a15e71.jpg,covers/The Nanny Diaries (Nanny #1).jpg
The Lonely Ones,http://books.toscrape.com/media/cache/21/bd/21bdf7ae21476b1debf4aa3eefe6f29d.jpg,covers/The Lonely Ones.jpg
The Husband's Secret,http://books.toscrape.com/media/cache/f0/5b/f05be79a4b319e24819c318e35e6963c.jpg,covers/The Husband's Secret.jpg
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",http://books.toscrape.com/media/cache/f9/69/f969969428b505970a46272fdcea00d3.jpg,"covers/The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements.jpg"
